"module name","license","repository"
"@ai-sdk/openai@1.3.23","Apache-2.0","https://github.com/vercel/ai"
"@ai-sdk/provider-utils@2.2.8","Apache-2.0","https://github.com/vercel/ai"
"@ai-sdk/provider@1.1.3","Apache-2.0","https://github.com/vercel/ai"
"@ai-sdk/react@1.2.12","Apache-2.0","https://github.com/vercel/ai"
"@ai-sdk/ui-utils@1.2.11","Apache-2.0","https://github.com/vercel/ai"
"@babel/runtime@7.27.6","MIT","https://github.com/babel/babel"
"@date-fns/tz@1.2.0","MIT","https://github.com/date-fns/tz"
"@dnd-kit/accessibility@3.1.1","MIT","https://github.com/clauderic/dnd-kit"
"@dnd-kit/core@6.3.1","MIT","https://github.com/clauderic/dnd-kit"
"@dnd-kit/sortable@10.0.0","MIT","https://github.com/clauderic/dnd-kit"
"@dnd-kit/utilities@3.2.2","MIT","https://github.com/clauderic/dnd-kit"
"@floating-ui/core@1.7.3","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/dom@1.7.4","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/react-dom@2.1.6","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/react@0.26.28","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/react@0.27.16","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/utils@0.2.10","MIT","https://github.com/floating-ui/floating-ui"
"@headlessui/react@2.2.5","MIT","https://github.com/tailwindlabs/headlessui"
"@hello-pangea/dnd@18.0.1","Apache-2.0","https://github.com/hello-pangea/dnd"
"@hookform/resolvers@5.1.1","MIT","https://github.com/react-hook-form/resolvers"
"@icons-pack/react-simple-icons@13.6.0","MIT","https://github.com/icons-pack/react-simple-icons"
"@lexical/clipboard@0.35.0","MIT","https://github.com/facebook/lexical"
"@lexical/code@0.35.0","MIT","https://github.com/facebook/lexical"
"@lexical/devtools-core@0.35.0","MIT","https://github.com/facebook/lexical"
"@lexical/dragon@0.35.0","MIT","https://github.com/facebook/lexical"
"@lexical/hashtag@0.35.0","MIT","https://github.com/facebook/lexical"
"@lexical/history@0.35.0","MIT","https://github.com/facebook/lexical"
"@lexical/html@0.35.0","MIT","https://github.com/facebook/lexical"
"@lexical/link@0.35.0","MIT","https://github.com/facebook/lexical"
"@lexical/list@0.35.0","MIT","https://github.com/facebook/lexical"
"@lexical/mark@0.35.0","MIT","https://github.com/facebook/lexical"
"@lexical/markdown@0.35.0","MIT","https://github.com/facebook/lexical"
"@lexical/offset@0.35.0","MIT","https://github.com/facebook/lexical"
"@lexical/overflow@0.35.0","MIT","https://github.com/facebook/lexical"
"@lexical/plain-text@0.35.0","MIT","https://github.com/facebook/lexical"
"@lexical/react@0.35.0","MIT","https://github.com/facebook/lexical"
"@lexical/rich-text@0.35.0","MIT","https://github.com/facebook/lexical"
"@lexical/selection@0.35.0","MIT","https://github.com/facebook/lexical"
"@lexical/table@0.35.0","MIT","https://github.com/facebook/lexical"
"@lexical/text@0.35.0","MIT","https://github.com/facebook/lexical"
"@lexical/utils@0.35.0","MIT","https://github.com/facebook/lexical"
"@lexical/yjs@0.35.0","MIT","https://github.com/facebook/lexical"
"@next/env@14.2.3","MIT","https://github.com/vercel/next.js"
"@next/swc-darwin-arm64@14.2.3","MIT","https://github.com/vercel/next.js"
"@opentelemetry/api@1.9.0","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@radix-ui/number@1.1.1","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/primitive@1.1.2","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/primitive@1.1.3","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-accessible-icon@1.1.7","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-accordion@1.2.11","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-alert-dialog@1.1.14","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-arrow@1.1.7","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-aspect-ratio@1.1.7","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-avatar@1.1.10","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-checkbox@1.3.2","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-collapsible@1.1.11","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-collection@1.1.7","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-compose-refs@1.1.2","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-context-menu@2.2.15","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-context@1.1.2","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-dialog@1.1.14","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-direction@1.1.1","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-dismissable-layer@1.1.10","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-dismissable-layer@1.1.11","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-dropdown-menu@2.1.15","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-focus-guards@1.1.2","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-focus-guards@1.1.3","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-focus-scope@1.1.7","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-form@0.1.7","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-hover-card@1.1.14","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-id@1.1.1","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-label@2.1.7","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-menu@2.1.15","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-menubar@1.1.15","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-navigation-menu@1.2.13","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-one-time-password-field@0.1.7","MIT","https://github.com/radix-ui/primitives"
